1,Anthony Davis,PF,LAL,74,36,0.52(10.0/19.3),0.82(6.6/8.1),1,27.7,11.3,3.5,1.7,2.6,2.2,15.55
2,James Harden,SG,HOU,78,36,0.45(9.4/21.1),0.87(8.9/10.2),3.9,31.7,5.6,6.8,2.1,0.7,4.4,15.18
3,Stephen Curry,PG,GSW,76,35,0.48(10.1/21.1),0.91(4.2/4.6),5.6,29.8,5.9,5.7,1.5,0.4,2.9,14.22
4,Giannis Antetokounmpo,PF,MIL,72,33,0.57(10.2/18.1),0.74(7.3/9.8),0.9,28.7,13.2,6.2,1.3,1.6,3.4,13.25
5,Karl-Anthony Towns,C,MIN,79,33,0.52(9.3/18.0),0.85(5.2/6.1),1.9,25.6,12.4,3.6,0.9,1.7,3.1,12.35
6,Joel Embiid,C,PHI,66,32,0.49(9.1/18.6),0.81(8.2/10.2),1.2,27.6,13.6,3.7,0.7,1.9,3.3,10.87
7,Nikola Jokic,C,DEN,78,32,0.51(8.3/16.2),0.82(3.9/4.7),1.1,21.6,11.7,7.8,1.4,0.8,3.2,10.7
8,Paul George,PF,LAC,66,35,0.45(7.7/17.0),0.84(5.1/6.1),3.8,24.2,8.2,4.1,2,0.4,2.6,10.42
9,Kawhi Leonard,SF,LAC,68,34,0.50(8.0/16.0),0.86(6.0/7.1),2,24.1,7,3.5,1.8,0.6,2,10.09
10,Damian Lillard,PG,POR,80,36,0.44(9.1/20.4),0.91(6.2/6.8),3.2,27.6,3.8,7,1.1,0.4,2.6,9.95
11,Jimmy Butler,SF,MIA,72,33,0.46(7.6/16.4),0.86(5.4/6.3),1.6,22.2,6.1,5.1,1.9,0.7,1.4,9.15
12,LeBron James,PG,LAL,74,36,0.51(9.9/19.4),0.71(5.0/7.1),2.1,26.9,8.7,8.8,1.3,0.6,3.7,9.1
13,Kyrie Irving,PG,BKN,68,33,0.47(9.5/20.2),0.87(3.4/3.9),2.7,25.1,3.9,7.2,1.4,0.4,2.6,8.41
14,Bradley Beal,SG,WAS,78,36,0.47(10.2/21.7),0.80(4.5/5.6),2.6,27.4,5.4,5.6,1.5,0.7,2.6,8.41
15,Nikola Vucevic,C,ORL,78,32,0.49(8.3/17.1),0.79(2.4/3.0),1.2,20.1,12.1,4.1,1,1.2,2,7.2
16,Kemba Walker,PG,BOS,80,33,0.45(8.6/19.0),0.84(4.6/5.5),3.2,24.9,4.1,5.9,1.1,0.4,2.5,6.9
17,Devin Booker,SG,PHO,71,35,0.47(9.4/20.1),0.86(6.4/7.5),2.2,27.5,4.3,5.7,0.9,0.2,3.7,6.86
18,Rudy Gobert,C,UTA,77,32,0.67(6.3/9.3),0.64(4.4/6.8),0,16.9,13.5,2.1,0.8,2.4,1.6,6.67
19,Andre Drummond,C,DET,78,34,0.54(7.6/14.2),0.60(3.3/5.5),0.1,18.6,16,1.5,1.7,1.9,2.2,6.37
20,Jrue Holiday,SG,NOR,73,34,0.47(8.6/18.4),0.78(3.1/4.0),1.8,22.1,5.1,6.5,1.5,0.8,3,6.33
21,Deandre Ayton,C,PHO,72,32,0.56(8.5/15.3),0.76(2.4/3.2),0,19.5,11,2,0.9,1.3,1.9,6.05
22,John Collins,PF,ATL,72,32,0.55(8.6/15.4),0.76(3.7/4.9),1,21.8,10.9,2,0.5,1.1,2.4,5.99
23,Russell Westbrook,PG,HOU,74,36,0.44(8.1/18.2),0.71(3.3/4.7),1.7,21.2,8.4,8.2,1.9,0.5,4.1,5.92
24,Trae Young,PG,ATL,78,32,0.43(7.5/17.3),0.85(4.9/5.7),2.4,22.3,4,8.9,1,0.2,3.9,5.79
25,Myles Turner,C,IND,76,30,0.48(5.6/11.7),0.74(2.2/3.0),1.1,14.6,7.9,1.8,0.8,2.8,1.5,5.4
26,Mitchell Robinson,C,NYK,76,26,0.63(4.8/7.7),0.64(1.7/2.7),0,11.3,9.4,0.8,1,2.8,0.9,5.28
27,Mike Conley,PG,UTA,70,32,0.45(6.1/13.4),0.85(4.9/5.8),2.2,19.3,3.4,6,1.2,0.3,1.8,5.25
28,Chris Paul,PG,OKC,64,29,0.44(5.3/12.2),0.86(2.9/3.3),2,15.5,3.8,7.7,1.6,0.3,2.6,5.1
29,Ben Simmons,PG,PHI,78,34,0.56(7.1/12.8),0.62(3.5/5.6),0,17.8,8.8,8.7,1.5,0.9,3.5,4.84
30,Luka Doncic,SF,DAL,74,34,0.44(7.8/17.7),0.74(5.3/7.2),2.6,23.5,8.3,6.7,1.2,0.3,3.6,4.78
31,LaMarcus Aldridge,PF,SAS,76,33,0.51(8.1/16.0),0.85(4.5/5.3),0.1,20.8,8.9,2.1,0.5,1.2,1.8,4.78
32,Pascal Siakam,PF,TOR,78,34,0.52(7.1/13.6),0.79(3.4/4.3),1.1,18.8,7.7,3.5,1,0.7,2,4.77
33,Draymond Green,PF,GSW,74,33,0.45(4.1/9.1),0.72(1.1/1.6),1,10.3,7.7,7.6,1.5,1.2,2.7,4.76
34,Kristaps Porzingis,PF,DAL,62,30,0.45(6.8/15.2),0.79(4.4/5.5),1.9,19.9,7.6,1.2,0.7,1.9,1.8,4.73
35,Robert Covington,PF,MIN,66,33,0.44(4.6/10.4),0.76(1.9/2.5),2.4,13.5,5.5,1.3,2,1.3,1.2,4.72
36,Zach LaVine,SG,CHI,68,34,0.46(8.2/17.8),0.84(5.2/6.2),2,23.6,4.8,4.7,1,0.4,3.4,4.71
37,Khris Middleton,SF,MIL,76,32,0.45(7.2/16.1),0.85(3.0/3.6),2.5,19.9,6.4,4.6,1.3,0.1,2.4,4.7
38,Buddy Hield,SG,SAC,80,32,0.46(8.0/17.5),0.88(2.2/2.5),3.5,21.8,5.3,2.6,0.8,0.4,1.8,4.67
39,Kyle Lowry,PG,TOR,68,32,0.43(5.7/13.2),0.84(2.5/3.0),2.5,16.3,4.7,7.1,1.3,0.5,2.7,4.65
40,Danilo Gallinari,PF,OKC,68,30,0.45(6.2/13.8),0.90(5.6/6.2),2.2,20.1,6.4,2.3,0.7,0.3,1.7,4.63
41,Kevin Love,PF,CLE,60,28,0.44(5.2/11.8),0.91(5.1/5.6),2.6,18.2,9.2,2.4,0.3,0.3,2,4.62
42,Tobias Harris,SF,PHI,80,34,0.47(7.1/15.0),0.87(3.3/3.8),2,19.4,8,2.9,0.8,0.5,1.8,4.59
43,De'Aaron Fox,PG,SAC,78,32,0.46(6.9/14.9),0.73(4.0/5.5),1.3,19,4.2,7.9,1.6,0.7,2.9,4.56
44,Donovan Mitchell,SG,UTA,78,34,0.44(9.2/20.8),0.81(4.4/5.4),2.6,25.2,4.3,3.8,1.4,0.4,2.8,4.54
45,Otto Porter Jr,SF,CHI,76,32,0.48(6.3/13.1),0.83(1.6/1.9),2.1,16.4,5.6,2.5,1.5,0.7,1.3,4.5
46,Bam Adebayo,C,MIA,80,30,0.55(5.8/10.6),0.74(2.7/3.7),0,14.4,10.1,3,1.2,1.3,1.9,4.44
47,Victor Oladipo,SG,IND,56,30,0.45(7.2/16.2),0.79(2.9/3.7),2.1,19.4,5.5,5.1,1.6,0.3,2.2,4.38
48,Eric Bledsoe,PG,MIL,76,30,0.48(5.5/11.5),0.77(2.5/3.2),1.7,15.3,5.1,6,1.5,0.4,2.2,4.33
49,Jaren Jackson Jr,PF,MEM,70,31,0.49(6.3/12.9),0.77(3.4/4.4),1.1,17.1,7.2,1.4,1.1,1.8,2.1,4.29
50,Clint Capela,C,HOU,72,33,0.65(6.4/9.8),0.64(2.6/4.0),0,15.3,10.8,1.4,0.7,1.7,1.4,4.29
51,D'Angelo Russell,SG,GSW,78,32,0.45(7.8/17.4),0.80(2.2/2.8),3.2,21,4,5.1,1.3,0.2,2.7,4.26
52,Thomas Bryant,C,WAS,76,30,0.56(6.0/10.7),0.78(2.3/2.9),0.8,15.1,9.5,2,0.4,1.4,1.2,4.22
53,DeMar DeRozan,SF,SAS,76,33,0.47(8.2/17.3),0.83(4.7/5.7),0.4,21.4,6,5.2,1.1,0.5,2.5,4.21
54,Jonas Valanciunas,C,MEM,72,28,0.55(6.1/11.0),0.79(4.0/5.0),0.4,16.5,9.7,1.8,0.5,1.5,2.4,4.21
55,Zion Williamson,PF,NOR,70,32,0.50(7.0/13.9),0.71(4.1/5.8),0.9,19.1,7.8,2.7,1.6,0.9,1.9,4.17
56,Al Horford,PF,PHI,70,28,0.50(5.2/10.5),0.86(1.2/1.4),1.1,12.8,6.9,3.8,0.9,1.3,1.4,3.98
57,Derrick Favors,C,NOR,76,30,0.53(6.5/12.2),0.69(2.8/4.0),0.3,16.1,9.9,1.6,0.9,1.8,1.7,3.96
58,Brook Lopez,C,MIL,76,28,0.46(4.5/9.9),0.88(1.4/1.6),2.4,12.9,5,1.2,0.6,2.3,1,3.94
59,Malcolm Brogdon,PG,IND,70,32,0.49(6.5/13.2),0.92(2.6/2.8),1.9,17.4,4.6,4.9,0.8,0.2,1.8,3.93
60,Lauri Markkanen,PF,CHI,68,32,0.43(6.9/15.9),0.87(3.4/4.0),2.4,19.6,9.5,1.5,0.7,0.6,1.6,3.86
61,Blake Griffin,PF,DET,72,34,0.45(8.2/18.2),0.76(5.6/7.4),2.4,24.4,7.7,5.5,0.7,0.4,3.3,3.79
62,Josh Richardson,SG,PHI,75,32,0.45(4.9/11.0),0.85(2.6/3.1),2.3,14.8,3.5,2.8,1.4,0.9,1.4,3.62
63,CJ McCollum,SG,POR,76,34,0.46(8.7/18.7),0.86(2.4/2.8),2.5,22.3,4.3,3.2,0.8,0.4,1.5,3.6
64,Hassan Whiteside,C,POR,69,28,0.55(6.0/11.1),0.61(1.9/3.1),0,14,11.6,1,0.7,2.3,1.6,3.45
65,Jayson Tatum,PF,BOS,78,32,0.47(6.4/13.8),0.83(2.6/3.1),1.6,17,6.5,2.3,1.1,0.8,1.5,3.33
66,Lonzo Ball,PG,NOR,66,31,0.44(4.8/10.8),0.46(0.6/1.4),1.7,11.9,5.7,8.5,1.7,0.4,2.3,3.11
67,Larry Nance Jr,PF,CLE,68,28,0.52(4.1/7.8),0.70(1.5/2.2),0.6,10.3,9,3.5,1.6,0.7,1.5,2.93
68,Ja Morant,PG,MEM,74,32,0.45(5.8/13.0),0.78(3.3/4.2),1.5,16.4,4,7.9,1.2,0.4,3.1,2.92
69,Ricky Rubio,PG,PHO,70,28,0.42(4.1/9.7),0.86(3.1/3.6),1.3,12.4,3.8,8.4,1.4,0.1,2.6,2.87
70,Jamal Murray,PG,DEN,76,33,0.44(7.3/16.6),0.84(2.7/3.2),2.1,19.3,4.6,5.1,0.9,0.4,2.1,2.83
71,Marvin Bagley III,PF,SAC,72,30,0.51(7.5/14.8),0.72(3.8/5.3),0.6,19.5,10,1.5,0.6,1.2,1.9,2.67
72,Domantas Sabonis,PF,IND,76,30,0.56(6.1/11.1),0.72(3.6/5.0),0.1,16,10.8,3.7,0.8,0.5,2.7,2.64
73,Marcus Smart,PG,BOS,76,30,0.42(3.5/8.1),0.82(1.5/1.8),1.8,10.2,3.3,4.6,2,0.5,1.6,2.6
74,Terry Rozier,PG,CHA,78,33,0.41(6.7/16.2),0.75(1.4/1.8),2.3,17.1,6,5.3,1.3,0.5,1.8,2.55
75,Gordon Hayward,SF,BOS,70,30,0.47(5.5/11.6),0.85(2.7/3.2),1.3,15.1,5.5,4.4,0.9,0.4,1.7,2.51
76,Klay Thompson,SF,GSW,30,28,0.47(7.3/15.6),0.85(1.5/1.7),2.7,18.8,3.4,2.1,0.9,0.5,1.2,2.49
77,Dewayne Dedmon,C,SAC,66,25,0.50(4.0/8.1),0.78(1.5/1.9),1.4,10.8,7.6,1.5,1.1,1.2,1.3,2.49
78,Kelly Oubre Jr,SF,PHO,72,28,0.44(6.1/13.8),0.77(2.8/3.7),1.9,16.9,4.9,1.5,1.5,0.9,1.5,2.49
79,Julius Randle,PF,NYK,76,31,0.50(7.1/14.2),0.73(5.2/7.1),1,20.4,8.7,3.7,0.7,0.6,2.8,2.46
80,Shai Gilgeous-Alexander,SG,OKC,78,30,0.48(5.7/12.0),0.81(2.4/2.9),1,14.8,3.3,4.4,1.4,0.6,1.9,2.35
81,Montrezl Harrell,C,LAC,78,28,0.63(6.4/10.3),0.64(3.6/5.6),0,16.4,6.9,2.2,1,1.5,1.7,2.28
82,Jeremy Lamb,SG,IND,74,29,0.45(5.1/11.5),0.88(3.1/3.5),1.6,15,5.1,2.4,1.1,0.4,1,2.26
83,Wendell Carter Jr,C,CHI,70,29,0.49(5.0/10.2),0.80(2.4/3.0),0.1,12.5,8.5,2.2,0.7,1.6,1.7,2.14
84,Delon Wright,PG,DAL,72,29,0.44(4.7/10.7),0.80(2.2/2.7),0.9,12.6,4.7,4.4,1.5,0.5,1.3,1.94
85,Jonathan Isaac,SF,ORL,76,28,0.44(4.3/9.7),0.81(1.8/2.2),1.3,11.6,6.3,1.3,1.1,1.4,1.2,1.93
86,Gary Harris,SG,DEN,66,30,0.47(6.2/13.3),0.80(2.2/2.7),2,16.6,3.1,2.4,1.4,0.3,1.3,1.91
87,Fred VanVleet,SG,TOR,70,29,0.43(5.6/13.0),0.84(1.7/2.0),2.5,15.4,2.9,5.3,0.9,0.3,1.4,1.86
88,Aaron Gordon,PF,ORL,78,32,0.45(6.1/13.3),0.75(2.4/3.2),1.6,16.1,7.4,3.5,0.8,0.8,2,1.83
89,Caris LeVert,SF,BKN,68,30,0.45(6.7/14.9),0.72(2.5/3.5),1.5,17.4,4.5,4.6,1.3,0.6,1.9,1.79
90,JaVale McGee,C,LAL,76,24,0.62(4.9/7.9),0.65(1.5/2.3),0,11.3,7.4,0.8,0.6,1.9,1.5,1.76
91,Kevon Looney,C,GSW,74,28,0.63(4.5/7.2),0.62(1.3/2.1),0,10.3,8.4,2.4,0.9,1.1,0.9,1.76
92,Miles Bridges,PF,CHA,79,30,0.48(6.4/13.4),0.75(1.3/1.8),1.2,15.4,5.9,1.8,1,0.9,0.8,1.62
93,Derrick White,SG,SAS,68,29,0.47(5.0/10.7),0.78(1.7/2.1),1,12.8,4.4,3.7,1.2,0.8,1.6,1.61
94,Steven Adams,C,OKC,78,33,0.57(6.3/10.9),0.50(1.9/3.7),0,14.4,11.3,1.7,1.5,1,1.7,1.55
95,Cody Zeller,C,CHA,64,26,0.56(4.2/7.5),0.80(2.5/3.1),0.1,11,7.2,2.3,0.8,1,1.2,1.53
96,Danny Green,SF,LAL,74,28,0.47(3.9/8.4),0.84(0.5/0.6),2.7,11.1,4.2,1.7,0.9,0.7,0.9,1.31
97,Mikal Bridges,SF,PHO,78,31,0.45(3.6/8.1),0.82(1.3/1.6),1.5,10.1,3.7,2.3,1.7,0.6,0.9,1.3
98,Marc Gasol,C,TOR,74,25,0.45(4.2/9.4),0.75(2.1/2.7),1.1,11.6,6.7,3.8,0.9,0.9,1,1.24
99,DeAndre Jordan,C,BKN,76,26,0.63(3.8/6.0),0.71(2.5/3.5),0,10.1,10.9,2.1,0.5,1,1.9,1.24
100,Jeff Teague,PG,MIN,68,30,0.43(4.4/10.4),0.81(3.0/3.8),0.8,12.7,2.6,8.6,1,0.4,2.3,1.24
101,TJ Warren,SF,IND,66,28,0.49(5.7/11.5),0.80(2.2/2.7),1.5,15.1,3.7,1.4,1.1,0.7,1.1,1.22
102,Enes Kanter,C,BOS,70,26,0.55(5.6/10.2),0.80(2.6/3.2),0.1,13.9,9.6,1.9,0.5,0.4,1.9,1.19
103,Nicolas Batum,SF,CHA,70,31,0.43(4.7/11.0),0.84(1.0/1.2),1.6,12.1,5.3,4.7,0.9,0.6,1.6,1.03
104,Paul Millsap,PF,DEN,66,26,0.49(4.7/9.6),0.73(2.6/3.6),0.8,12.8,7.3,2,1.2,0.8,1.3,0.95
105,Lou Williams,PG,LAC,76,26,0.44(5.5/12.5),0.88(4.9/5.6),1.4,17.4,3,3.9,0.7,0.1,2.3,0.93
106,Serge Ibaka,C,TOR,72,28,0.49(6.2/12.9),0.75(2.0/2.6),0.8,15.2,8.2,1.1,0.4,1.3,1.5,0.91
107,Terrence Ross,SG,ORL,74,26,0.43(5.6/13.1),0.89(1.7/1.9),2.8,15.6,3.5,1.8,0.9,0.4,1.1,0.85
108,Zach Collins,PF,POR,74,28,0.47(4.5/9.6),0.75(2.0/2.7),1.2,12.3,7,1.5,0.5,1.5,1.6,0.81
109,Kelly Olynyk,C,MIA,78,26,0.47(4.0/8.5),0.83(2.3/2.7),1.7,11.9,5.6,2.1,0.8,0.6,1.6,0.73
110,Rudy Gay,SF,SAS,66,26,0.48(5.2/11.0),0.79(1.7/2.1),1.1,13.3,7,2.7,0.8,0.5,1.6,0.61
111,Alex Len,C,ATL,76,25,0.50(5.5/11.0),0.69(2.4/3.4),1.3,14.7,7.3,1.4,0.5,1.2,1.6,0.58
112,Kyle Anderson,SF,MEM,70,28,0.55(3.5/6.3),0.70(0.9/1.3),0.2,8,5.7,3,1.2,0.9,1.2,0.57
113,Jarrett Allen,C,BKN,80,24,0.59(3.8/6.4),0.72(2.4/3.4),0.1,10.1,8.1,1.3,0.5,1.4,1.2,0.49
114,Davis Bertans,PF,WAS,74,28,0.45(3.7/8.2),0.88(1.0/1.1),2.6,11,4.8,1.8,0.7,0.5,0.8,0.47
115,Joe Ingles,SF,UTA,80,28,0.45(4.2/9.2),0.74(1.0/1.4),2.2,11.5,3.8,4.7,1.1,0.2,2.1,0.35
116,JJ Redick,SG,NOR,72,27,0.44(4.9/11.1),0.90(2.7/3.0),3,15.5,2.3,2.4,0.3,0.2,1.1,0.34
117,Taurean Prince,PF,BKN,76,28,0.45(5.0/11.3),0.81(1.8/2.2),2.3,14.1,4,2.2,1,0.3,1.8,0.33
118,Dwight Powell,C,DAL,76,22,0.61(4.1/6.7),0.76(2.7/3.5),0.5,11.4,5.7,1.6,0.6,0.7,0.9,0.32
119,Dejounte Murray,PG,SAS,68,28,0.46(5.5/12.0),0.73(1.8/2.5),0.1,13,6.3,4,1.4,0.5,2.2,0.27
120,Kevin Huerter,SG,ATL,76,29,0.43(5.4/12.5),0.74(0.6/0.8),2.4,13.8,3.7,3.2,1.1,0.3,1.6,0.24
121,Thaddeus Young,PF,CHI,74,26,0.53(4.9/9.2),0.65(1.0/1.5),0.5,11.3,5.8,2.2,1.3,0.4,1.3,0.19
122,Brandon Clarke,PF,MEM,70,22,0.53(4.4/8.3),0.72(1.7/2.3),0.2,10.6,6,1.4,0.7,1.5,0.9,0.18
123,Jerami Grant,PF,DEN,76,29,0.50(4.8/9.6),0.71(1.9/2.6),1.3,12.7,4.8,0.9,0.7,1.2,0.7,0.17
124,Bojan Bogdanovic,PF,UTA,78,30,0.48(5.4/11.1),0.79(3.0/3.8),2,15.7,4.1,2,0.8,0,1.6,0.15
125,Robert Williams,C,BOS,68,16,0.75(2.2/3.0),0.60(0.6/0.9),0,5,4.8,0.4,0.5,2.4,0.5,0.08
126,Kent Bazemore,SF,POR,70,28,0.42(4.8/11.4),0.73(2.1/2.9),1.7,13.3,4.3,2.5,1.4,0.7,1.9,0.07
127,Patrick Beverley,PG,LAC,75,30,0.42(2.9/6.8),0.75(1.4/1.8),1.6,8.8,4.1,4.3,1,0.7,1.2,0.05
128,Joe Harris,SG,BKN,76,30,0.49(5.1/10.5),0.78(1.5/1.9),2.5,14.2,4,2.5,0.5,0.2,1.6,0.03
129,Goran Dragic,PG,MIA,66,28,0.45(5.4/12.0),0.79(2.4/3.0),1.7,14.8,3.3,5.1,0.8,0.1,2,0.01
130,DJ Augustin,PG,ORL,78,28,0.47(4.1/8.8),0.85(2.3/2.7),1.7,12.2,2.6,5.6,0.6,0,1.6,0
131,Ivica Zubac,C,LAC,68,24,0.53(4.1/7.7),0.78(2.3/3.0),0,10.5,8.5,1.6,0.4,1.1,1.6,-0.09
132,Collin Sexton,PG,CLE,80,33,0.44(6.9/15.6),0.84(2.8/3.4),1.8,18.5,3.2,4.2,0.5,0.1,2.4,-0.15
133,Evan Fournier,SG,ORL,78,31,0.44(6.0/13.6),0.81(1.8/2.2),2,15.8,3.3,3.7,0.9,0.1,1.9,-0.16
134,Justise Winslow,PG,MIA,70,31,0.44(5.4/12.4),0.62(1.4/2.3),1.6,13.9,5.9,4.7,1.1,0.3,2.3,-0.19
135,Spencer Dinwiddie,PG,BKN,72,26,0.45(4.8/10.8),0.80(4.1/5.1),1.8,15.5,2.4,4.5,0.6,0.3,2,-0.23
136,Andrew Wiggins,SF,MIN,70,32,0.44(6.6/14.8),0.72(2.7/3.8),1.5,17.5,4.6,2.4,0.9,0.7,1.7,-0.25
137,Eric Gordon,SG,HOU,70,30,0.43(5.6/13.0),0.82(1.8/2.2),3.2,16.2,2.2,1.9,0.6,0.4,1.2,-0.27
138,Bogdan Bogdanovic,SG,SAC,74,26,0.43(4.7/10.9),0.83(1.9/2.3),1.9,13.1,3.4,3.7,0.9,0.2,1.6,-0.27
139,Tomas Satoransky,PG,CHI,76,26,0.47(4.3/9.0),0.80(1.6/2.0),0.8,10.9,3.5,5.1,1,0.2,1.4,-0.31
140,Harrison Barnes,SF,SAC,74,32,0.42(5.7/13.6),0.84(3.1/3.7),2.4,16.9,4.7,1.5,0.6,0.2,1.3,-0.35
141,Jarrett Culver,SG,MIN,72,28,0.44(4.4/10.1),0.72(2.6/3.6),1.5,12.9,5.1,3.2,1.3,0.3,1.8,-0.36
142,Tim Hardaway Jr,SG,DAL,66,28,0.41(5.6/13.6),0.86(3.4/3.9),2.3,16.9,3.2,2.2,0.7,0.1,1.4,-0.41
143,Brandon Ingram,SF,NOR,60,31,0.49(6.6/13.4),0.68(3.7/5.4),0.6,17.4,5.4,3.3,0.8,0.9,2.3,-0.42
144,Reggie Jackson,PG,DET,74,26,0.42(5.3/12.5),0.87(2.5/2.8),2.1,15.1,2.5,4.1,0.7,0.1,1.7,-0.45
145,Nerlens Noel,C,OKC,78,16,0.59(2.6/4.4),0.70(0.9/1.2),0,6,5.2,0.7,1.1,1.5,0.7,-0.46
146,De'Andre Hunter,SF,ATL,72,30,0.46(4.1/8.9),0.75(2.4/3.2),1.6,12.1,4.6,2.2,1.1,0.3,1.3,-0.47
147,RJ Barrett,SG,NYK,72,30,0.44(5.5/12.6),0.72(3.3/4.5),2.1,16.4,5.3,3.3,0.8,0.3,2,-0.53
148,JaMychal Green,PF,LAC,68,24,0.49(3.7/7.6),0.75(1.4/1.9),1.3,10.2,7,1,0.8,0.6,1.5,-0.58
149,Jakob Poeltl,C,SAS,70,23,0.63(3.5/5.6),0.50(0.9/1.8),0,7.9,8.3,1.8,0.6,1.3,0.8,-0.62
150,Bobby Portis,PF,NYK,64,26,0.44(5.2/11.7),0.79(1.6/2.0),1.4,13.4,7.4,1.5,0.7,0.4,1.5,-0.65
151,Kyle Kuzma,PF,LAL,76,29,0.46(6.6/14.3),0.75(2.5/3.3),1.7,17.3,5.1,2.3,0.5,0.4,1.7,-0.65
152,Malik Monk,SG,CHA,74,26,0.41(4.6/11.2),0.86(1.9/2.2),2.4,13.4,2.9,2.5,0.8,0.5,1.8,-0.68
153,Derrick Rose,PG,DET,56,26,0.44(5.4/12.3),0.88(2.7/3.1),1.1,14.7,2.7,4.3,0.6,0.2,1.5,-0.73
